date,bet_type,suspended,open,label,probability,odds_american,odds_decimal,odds_fractional,line,subcategory_id,bet_type_id,criterion_id,offer_id
2022-08-17,Spread,FALSE,TRUE,PHI 76ers,0.5121951219512195,-105,1.95238096,20/21,5,4511,1,2_0,2_66336418
2022-08-17,Spread,FALSE,TRUE,BOS Celtics,0.5348837209302325,-115,1.86956522,20/23,-5,4511,1,2_0,2_66336418
2022-08-17,Moneyline,FALSE,TRUE,PHI 76ers,0.3448275862068966,190,2.9,19/10,NA,4511,2,1_0,1_66336418
2022-08-17,Moneyline,FALSE,TRUE,BOS Celtics,0.6923076923076923,-225,1.44444445,4/9,NA,4511,2,1_0,1_66336418
2022-08-17,Spread,FALSE,TRUE,LA Lakers,0.5121951219512195,-105,1.95238096,20/21,5.5,4511,1,2_0,2_66296615
2022-08-17,Spread,FALSE,TRUE,GS Warriors,0.5348837209302325,-115,1.86956522,20/23,-5.5,4511,1,2_0,2_66296615
2022-08-17,Moneyline,FALSE,TRUE,LA Lakers,0.3333333333333333,200,3,2/1,NA,4511,2,1_0,1_66296615
2022-08-17,Moneyline,FALSE,TRUE,GS Warriors,0.7058823529411765,-240,1.41666667,5/12,NA,4511,2,1_0,1_66296615
2022-08-17,Spread,FALSE,TRUE,MIL Bucks,0.5238095238095238,-110,1.90909091,10/11,4.5,4511,1,2_0,2_66313027
2022-08-17,Spread,FALSE,TRUE,BOS Celtics,0.5238095238095238,-110,1.90909091,10/11,-4.5,4511,1,2_0,2_66313027
2022-08-17,Moneyline,FALSE,TRUE,MIL Bucks,0.37735849056603776,165,2.65,33/20,NA,4511,2,1_0,1_66313027
2022-08-17,Moneyline,FALSE,TRUE,BOS Celtics,0.6610169491525424,-195,1.51282052,20/39,NA,4511,2,1_0,1_66313027
2022-08-17,Spread,FALSE,TRUE,PHO Suns,0.5238095238095238,-110,1.90909091,10/11,2.5,4511,1,2_0,2_66313029
2022-08-17,Spread,FALSE,TRUE,DEN Nuggets,0.5238095238095238,-110,1.90909091,10/11,-2.5,4511,1,2_0,2_66313029
2022-08-17,Moneyline,FALSE,TRUE,PHO Suns,0.4444444444444444,125,2.25,5/4,NA,4511,2,1_0,1_66313029
2022-08-17,Moneyline,FALSE,TRUE,DEN Nuggets,0.5918367346938775,-145,1.68965518,20/29,NA,4511,2,1_0,1_66313029
2022-08-17,Spread,FALSE,TRUE,LA Lakers,0.5121951219512195,-105,1.95238096,20/21,3.5,4511,1,2_0,2_66313030
2022-08-17,Spread,FALSE,TRUE,DAL Mavericks,0.5348837209302325,-115,1.86956522,20/23,-3.5,4511,1,2_0,2_66313030
2022-08-17,Moneyline,FALSE,TRUE,LA Lakers,0.4166666666666667,140,2.4,7/5,NA,4511,2,1_0,1_66313030
2022-08-17,Moneyline,FALSE,TRUE,DAL Mavericks,0.6226415094339622,-165,1.6060606100000001,20/33,NA,4511,2,1_0,1_66313030
2022-08-17,Spread,FALSE,TRUE,MEM Grizzlies,0.5238095238095238,-110,1.90909091,10/11,4,4511,1,2_0,2_66313031
2022-08-17,Spread,FALSE,TRUE,GS Warriors,0.5238095238095238,-110,1.90909091,10/11,-4,4511,1,2_0,2_66313031
2022-08-17,Moneyline,FALSE,TRUE,MEM Grizzlies,0.39215686274509803,155,2.55,31/20,NA,4511,2,1_0,1_66313031
2022-08-17,Moneyline,FALSE,TRUE,GS Warriors,0.6428571428571429,-180,1.55555556,5/9,NA,4511,2,1_0,1_66313031
